job_id_encoded,location_encoded,classification_encoded,sub_classification_encoded,work_type_encoded
35184,67,4,1,3
32933,8,30,25,3
10280,67,20,91,3
10246,67,19,51,3
13635,46,21,111,3
29318,53,12,299,3
8286,2,23,181,2
26240,67,14,123,4
47159,55,16,47,4
39320,14,21,253,3
42579,67,2,6,3
45975,67,22,169,3
18737,2,16,47,3
43066,67,2,207,3
20805,14,12,232,3
14606,67,7,8,3
13583,67,25,206,2
32327,1,14,122,2
19187,8,26,1,3
34250,1,18,78,2
14280,67,15,197,3
28794,14,30,126,3
14391,67,15,215,3
40941,67,2,6,2
32619,32,14,122,2
12419,80,21,253,3
20630,46,30,302,3
10528,67,2,207,3
43460,61,14,123,3
6981,70,13,105,3
9525,67,24,247,3
4362,46,15,55,2
14623,67,21,153,1
33219,9,15,204,3
41911,9,14,123,3
5692,1,18,156,3
9092,14,11,49,3
33161,50,8,206,1
32857,67,11,49,3
29339,8,1,3,2
36438,74,26,1,3
42940,46,30,220,3
40540,19,25,251,3
1081,67,12,50,3
3266,63,30,206,1
45886,31,2,6,3
1532,75,18,78,3
12599,8,21,20,2
29521,12,15,188,3
19727,67,30,302,3
48,62,7,48,3
18718,67,2,207,3
37520,67,8,156,3
42711,67,20,97,3
6184,2,20,151,3
8593,46,22,80,3
3232,3,30,284,3
38005,21,21,71,2
12939,55,12,90,3
28984,46,15,234,1
46134,67,18,41,3
21745,67,18,78,2
45036,39,15,206,1
3146,67,15,175,3
32683,75,6,256,3
1185,67,17,242,3
8169,32,26,187,3
29227,14,30,25,3
19685,46,11,49,4
141,18,7,8,4
26489,55,2,6,2
32291,46,12,50,3
29423,60,21,298,3
43051,55,12,90,1
11513,63,18,229,2
21121,52,2,6,2
41319,67,1,3,3
38953,8,18,16,3
35092,17,2,6,1
27206,14,1,211,4
26209,13,15,215,3
1252,32,24,206,3
6275,14,1,21,1
298,61,15,13,1
28889,67,18,89,2
28095,10,11,206,3
10718,46,8,66,3
41875,73,12,156,3
24176,8,8,232,3
25668,75,18,206,3
11008,46,16,156,3
13664,46,8,110,3
22153,2,20,97,3
18225,46,24,34,2
5448,30,15,175,3
44130,14,2,6,2
4771,67,22,169,3
26078,14,16,32,4
22979,46,18,78,3
11869,46,21,71,3
8447,56,23,201,2
47569,1,11,278,3
43936,80,17,199,3
8779,67,20,206,3
46296,55,15,192,1
25004,67,18,41,2
22580,66,26,259,3
15178,21,12,93,3
8914,67,4,14,3
30938,14,16,290,3
24828,67,30,284,1
25752,8,21,153,3
17130,46,30,84,3
31295,73,30,84,2
47640,46,30,302,1
26154,14,7,86,3
45991,63,14,122,2
30392,55,2,6,3
15865,14,20,233,3
44279,67,18,229,3
15525,46,14,124,3
32632,50,15,197,3
17113,75,16,156,3
21237,46,15,156,2
10933,14,30,84,3
26116,67,16,112,1
38446,8,21,298,3
29439,46,19,304,3
253,42,30,284,3
43006,67,1,40,3
35212,55,17,243,3
15921,14,29,206,2
18313,46,15,215,3
23048,8,12,273,2
11267,67,14,124,2
47812,50,15,192,3
42926,46,11,267,2
7067,14,2,240,3
13381,46,15,156,3
22536,19,27,94,3
16972,75,21,71,2
38626,4,7,8,4
38150,1,30,84,3
3612,67,2,6,3
20164,14,1,211,2
11917,75,12,50,3
27529,46,18,41,2
14401,67,30,25,3
21156,56,8,156,3
22002,67,6,73,3
5786,46,24,250,3
38500,8,15,254,3
13774,14,5,44,3
18769,67,20,149,2
46246,67,20,140,3
36415,67,20,140,3
8194,50,30,46,2
2200,14,21,237,2
1415,67,30,11,3
24556,67,11,49,3
3979,67,22,170,3
43218,46,5,118,3
27031,67,16,206,1
16440,80,30,84,3
9328,63,8,156,3
33838,67,1,102,2
4341,17,30,107,3
8881,67,1,22,3
33353,67,18,41,3
35039,8,30,46,3
5777,46,1,211,3
13233,67,18,89,3
25911,67,15,192,4
18869,67,18,89,3
24735,55,23,202,3
15149,67,18,186,2
32474,67,26,259,3
7760,67,16,47,3
40614,12,11,280,4
10523,46,18,41,3
32606,50,2,200,3
15351,1,18,16,3
16353,54,2,6,3
16056,67,11,49,3
44009,10,15,234,3
20639,67,25,164,3
9722,74,14,152,3
30627,60,21,253,3
18792,67,30,220,3
8103,14,7,156,2
28679,67,1,70,3
9602,46,21,298,2
35362,46,16,47,3
31605,67,10,18,3
11403,25,13,206,3
30013,67,26,259,3
7017,11,7,113,4
426,67,7,8,1
21561,14,26,187,3
44652,77,11,206,4
3321,13,8,232,3
5247,55,23,181,2
7783,46,22,170,3
47667,67,1,3,3
42395,50,23,181,3
32779,46,6,73,2
40082,67,26,1,3
2803,55,30,284,3
24724,46,14,123,2
30961,2,11,49,1
31919,46,11,275,3
12660,67,2,6,3
19385,55,26,187,3
43062,31,15,215,3
23425,67,26,259,3
30668,46,7,48,3
22781,67,22,80,3
36521,67,18,286,3
11319,67,22,96,2
7860,46,18,78,3
30229,14,14,124,3
34215,67,17,64,3
12035,67,8,127,3
44093,46,26,187,3
32686,61,15,156,3
1119,46,16,32,3
9355,14,11,49,3
7398,67,27,238,3
1797,67,20,97,3
41970,8,8,219,3
43622,73,23,206,3
16922,46,15,215,3
20921,66,15,189,4
32539,55,14,123,3
31873,67,11,279,3
32625,67,21,298,3
46456,55,22,169,3
42920,67,30,39,3
19430,31,26,259,3
41441,1,18,128,2
32056,12,16,47,1
22052,14,7,8,1
22132,46,15,188,1
21976,1,18,206,2
19902,14,1,102,3
40937,46,25,177,1
5912,67,15,77,4
38388,14,18,186,2
15753,67,20,67,3
2383,45,15,189,3
10443,55,23,179,2
35060,55,30,39,2
44334,67,21,253,3
32717,67,30,25,3
29921,46,15,189,3
43639,71,2,6,4
16676,67,18,78,3
12781,37,23,178,2
28876,9,20,206,3
2112,67,7,8,1
42186,8,8,232,3
46775,67,1,40,3
32888,8,2,207,4
5670,8,8,232,3
38354,46,16,206,3
6813,42,23,179,3
38767,14,23,179,3
9688,1,30,11,3
402,67,2,6,3
12177,67,24,248,3
8503,28,12,50,2
16734,67,8,206,2
7584,74,7,48,3
42332,55,12,83,2
35799,47,2,240,3
22875,21,8,219,1
45158,67,16,112,3
46651,46,18,128,2
20771,55,23,182,2
12437,46,11,275,3
10545,67,7,86,3
43977,46,24,247,3
28435,14,1,102,3
7692,55,8,219,3
3575,2,24,295,3
34485,46,30,206,3
23519,67,1,102,3
36247,67,22,36,3
16066,15,23,181,3
14085,6,24,15,4
31955,8,18,78,3
24667,46,30,261,3
14729,14,5,118,3
22383,41,11,276,3
18499,67,14,124,2
13321,67,18,89,3
17397,67,1,274,3
20497,55,19,37,3
17766,67,11,49,3
22384,55,15,204,3
30880,55,18,78,3
16534,46,22,206,3
42155,2,21,20,1
22589,67,21,153,3
8721,57,15,189,3
4788,50,22,235,3
1670,70,21,298,3
3160,67,24,247,3
11966,67,21,298,3
32076,46,18,78,3
6151,14,12,156,2
42871,67,30,284,3
25681,14,30,25,3
25805,8,1,14,2
33025,52,14,122,3
789,50,7,8,1
17322,8,6,73,4
19258,46,16,246,3
23754,46,24,247,3
20145,46,16,297,4
2033,2,15,189,3
195,8,1,211,3
31947,67,15,174,4
8986,46,15,249,3
15533,1,16,156,3
22408,8,21,298,4
46004,46,2,6,2
41647,46,8,66,3
16700,67,26,1,3
41810,8,4,60,3
28239,67,15,77,4
16123,8,29,106,4
17662,67,19,51,3
38463,67,11,206,3
21260,8,1,40,3
35279,46,27,94,3
15145,67,8,66,3
656,8,30,52,3
40994,35,2,6,4
40214,67,15,198,3
2420,67,18,301,3
46142,55,14,123,2
43683,61,14,124,3
33313,2,30,84,3
44726,10,1,102,2
32849,67,26,156,3
44633,55,15,176,3
14612,46,1,167,3
32368,67,17,242,3
37424,14,23,206,2
4541,8,18,78,2
16166,8,26,259,3
11487,46,26,187,3
29576,10,4,31,4
33009,67,30,155,3
51,78,14,124,3
41941,46,3,9,3
7459,67,6,158,3
21393,67,2,207,3
4522,67,11,49,3
6466,8,14,152,3
14353,67,17,289,3
413,74,1,2,3
28580,1,12,206,3
20777,80,23,156,3
32045,50,26,259,3
1924,46,16,156,3
14614,31,15,175,3
46581,67,8,110,3
39625,46,18,63,3
17873,43,8,127,2
24817,67,18,63,3
21918,14,25,251,1
30782,67,30,46,3
41862,67,21,282,3
21817,25,30,25,3
15910,1,30,84,3
2470,67,2,53,3
31914,75,2,207,2
17129,8,18,41,3
23633,15,16,156,2
25242,55,25,161,3
13697,50,17,64,2
45787,46,14,124,3
30865,26,14,122,3
44628,46,15,254,3
44594,55,30,116,3
44873,13,7,8,3
11351,67,11,278,1
32359,8,30,84,3
32455,1,14,122,2
4587,46,30,39,2
47731,31,17,64,3
3136,14,25,177,1
905,11,12,50,3
47278,46,16,297,1
24473,67,1,103,3
37419,46,10,125,3
33549,46,24,247,3
25792,8,15,214,3
31123,67,18,88,3
15587,55,23,179,1
27613,28,23,224,2
36043,46,11,206,3
3155,8,21,228,3
44193,67,8,95,3
10047,67,16,290,3
30610,67,2,6,2
21297,67,18,229,3
33916,50,21,253,1
24983,14,15,206,3
18456,77,4,31,3
6957,67,1,2,3
34603,55,16,32,1
38054,46,26,259,3
10929,8,1,23,3
34220,12,8,127,3
26010,2,26,259,3
31654,46,16,297,3
45779,46,21,111,3
8971,46,30,25,3
1480,55,15,189,1
